идентификатор,идентификатор_проекта,команда_отправитель,команда_получатель,тема,канал,дата_последнего_сообщения,ожидаемая_дата_ответа,статус,важность,идентификатор_связанной_задачи
COM701,P007,Проектный офис,Инженерия данных,маскирование,проектный чат,2026-06-19,2026-06-20,получен ответ,высокая,T701
COM702,P007,Проектный офис,Информационная безопасность,матрица доступа,проектный чат,2026-06-19,2026-06-21,ожидает ответа,средняя,T702
COM703,P007,Инженерия данных,AI-разработка,реестр источников,проектный чат,2026-06-19,2026-06-22,ожидает ответа,высокая,T703
COM704,P007,Инженерия данных,Тестирование,исключения маскирования,проектный чат,2026-06-19,2026-06-23,получен ответ,средняя,T704
COM705,P007,Информационная безопасность,Проектный офис,проект матрицы,проектный чат,2026-06-19,2026-06-24,ожидает ответа,высокая,T705
COM706,P007,AI-разработка,Тестирование,качество поиска,проектный чат,2026-06-19,2026-06-25,ожидает ответа,средняя,T706
COM707,P007,AI-разработка,Инженерия данных,проверка ссылок,проектный чат,2026-06-19,2026-06-20,получен ответ,высокая,T707
COM708,P007,Тестирование,AI-разработка,неподтверждённые ответы,проектный чат,2026-06-19,2026-06-21,ожидает ответа,средняя,T708
COM709,P007,Сопровождение,Проектный офис,FAQ сопровождения,проектный чат,2026-06-19,2026-06-22,ожидает ответа,высокая,T709
COM710,P007,Сопровождение,Тестирование,обучение,проектный чат,2026-06-19,2026-06-23,получен ответ,средняя,T710
COM711,P007,Тестирование,Проектный офис,приёмка пилота,проектный чат,2026-06-19,2026-06-24,ожидает ответа,высокая,T711
COM712,P007,Проектный офис,Информационная безопасность,резерв,проектный чат,2026-06-19,2026-06-25,ожидает ответа,средняя,T712
COM713,P007,Проектный офис,AI-разработка,состав будущего набора — рабочая редакция,проектный чат,2026-06-18,2026-06-20,получен ответ,высокая,T706
COM714,P007,Проектный офис,AI-разработка,состав будущего набора — разбор неверного прочтения,проектный чат,2026-06-18,2026-06-20,получен ответ,высокая,T706
COM715,P007,Проектный офис,Инженерия данных,два исключения маскирования — рабочая редакция,проектный чат,2026-06-18,2026-06-20,получен ответ,высокая,T704
COM716,P007,Проектный офис,Инженерия данных,два исключения маскирования — разбор неверного прочтения,проектный чат,2026-06-18,2026-06-20,получен ответ,высокая,T704
