id,project_id,dependency_type,depends_on,owner_team,expected_date,status,criticality,linked_task_id
D001,P001,internal_system,DWH feature mart,Data Platform,2026-06-07,delayed,high,T002
D002,P001,approval,Security approval,Security,2026-06-05,blocked,critical,T001
D003,P001,management_decision,Scope cut decision,PMO,2026-06-18,pending,high,T009
D004,P002,internal_system,Card processing stream,Card Processing,2026-06-03,blocked,critical,T031
D005,P002,approval,False positive criteria,Compliance,2026-06-10,delayed,high,T038
D006,P003,release_window,Pilot release slot,Release Management,2026-06-19,pending,medium,T068
D007,P004,vendor,SBP test certificates,SBP Vendor,2026-06-08,delayed,critical,T083
D008,P004,approval,PCI DSS token storage review,Security,2026-06-13,delayed,high,T084
D009,P005,data_owner,CRM duplicate ownership,Data Owners,2026-06-14,responded,medium,T110
D010,P005,approval,Profile 360 access matrix,Compliance,2026-06-17,pending,medium,T117
D011,P006,internal_system,MAX2.0 внешний контур 1,MAX Front,2026-06-23,pending,critical,T131
D012,P006,approval,MAX2.0 внешний контур 2,MAX Data,2026-06-22,delayed,high,T142
D013,P006,vendor,MAX2.0 внешний контур 3,MAX AI,2026-06-21,blocked,medium,T153
D014,P006,release_window,MAX2.0 внешний контур 4,MAX Quality,2026-06-20,responded,low,T164
D015,P006,data_owner,MAX2.0 внешний контур 5,MAX Platform,2026-06-19,pending,critical,T175
D016,P006,internal_system,MAX2.0 внешний контур 6,MAX Security,2026-06-18,delayed,high,T186
D017,P006,approval,MAX2.0 внешний контур 7,MAX Integration,2026-06-17,blocked,medium,T197
D018,P006,vendor,MAX2.0 внешний контур 8,MAX Reliability,2026-06-16,responded,low,T208
D019,P006,release_window,MAX2.0 внешний контур 9,MAX Compliance,2026-06-15,pending,critical,T219
D020,P006,data_owner,MAX2.0 внешний контур 10,MAX CX,2026-06-14,delayed,high,T230
D021,P006,internal_system,MAX2.0 внешний контур 11,MAX PMO,2026-06-13,blocked,medium,T241
D022,P006,approval,MAX2.0 внешний контур 12,MAX Analysis,2026-06-12,responded,low,T252
D023,P006,vendor,MAX2.0 внешний контур 13,MAX Architecture,2026-06-11,pending,critical,T263
D024,P006,release_window,MAX2.0 внешний контур 14,MAX Core,2026-06-10,delayed,high,T274
D025,P006,data_owner,MAX2.0 внешний контур 15,MAX Front,2026-06-09,blocked,medium,T285
D026,P006,internal_system,MAX2.0 внешний контур 16,MAX Data,2026-06-08,responded,low,T296
D027,P006,approval,MAX2.0 внешний контур 17,MAX AI,2026-06-07,pending,critical,T307
D028,P006,vendor,MAX2.0 внешний контур 18,MAX Quality,2026-06-06,delayed,high,T318
D029,P006,release_window,MAX2.0 внешний контур 19,MAX Platform,2026-06-05,blocked,medium,T329
D030,P006,data_owner,MAX2.0 внешний контур 20,MAX Security,2026-06-04,responded,low,T340
D031,P006,internal_system,MAX2.0 внешний контур 21,MAX Integration,2026-06-03,pending,critical,T351
D032,P006,approval,MAX2.0 внешний контур 22,MAX Reliability,2026-06-02,delayed,high,T362
D033,P006,vendor,MAX2.0 внешний контур 23,MAX Compliance,2026-06-23,blocked,medium,T373
D034,P006,release_window,MAX2.0 внешний контур 24,MAX CX,2026-06-22,responded,low,T384
D035,P006,data_owner,MAX2.0 внешний контур 25,MAX PMO,2026-06-21,pending,critical,T395
D036,P006,internal_system,MAX2.0 внешний контур 26,MAX Analysis,2026-06-20,delayed,high,T406
D037,P006,approval,MAX2.0 внешний контур 27,MAX Architecture,2026-06-19,blocked,medium,T417
D038,P006,vendor,MAX2.0 внешний контур 28,MAX Core,2026-06-18,responded,low,T428
D039,P006,release_window,MAX2.0 внешний контур 29,MAX Front,2026-06-17,pending,critical,T439
D040,P006,data_owner,MAX2.0 внешний контур 30,MAX Data,2026-06-16,delayed,high,T450
D041,P006,internal_system,MAX2.0 внешний контур 31,MAX AI,2026-06-15,blocked,medium,T461
D042,P006,approval,MAX2.0 внешний контур 32,MAX Quality,2026-06-14,responded,low,T472
D043,P006,vendor,MAX2.0 внешний контур 33,MAX Platform,2026-06-13,pending,critical,T483
D044,P006,release_window,MAX2.0 внешний контур 34,MAX Security,2026-06-12,delayed,high,T494
D045,P006,data_owner,MAX2.0 внешний контур 35,MAX Integration,2026-06-11,blocked,medium,T505
D046,P006,internal_system,MAX2.0 внешний контур 36,MAX Reliability,2026-06-10,responded,low,T516
D047,P006,approval,MAX2.0 внешний контур 37,MAX Compliance,2026-06-09,pending,critical,T527
D048,P006,vendor,MAX2.0 внешний контур 38,MAX CX,2026-06-08,delayed,high,T538
D049,P006,release_window,MAX2.0 внешний контур 39,MAX PMO,2026-06-07,blocked,medium,T549
D050,P006,data_owner,MAX2.0 внешний контур 40,MAX Analysis,2026-06-06,responded,low,T560
D051,P006,internal_system,MAX2.0 внешний контур 41,MAX Architecture,2026-06-05,pending,critical,T571
D052,P006,approval,MAX2.0 внешний контур 42,MAX Core,2026-06-04,delayed,high,T582
D053,P006,vendor,MAX2.0 внешний контур 43,MAX Front,2026-06-03,blocked,medium,T593
D054,P006,release_window,MAX2.0 внешний контур 44,MAX Data,2026-06-02,responded,low,T604
D055,P006,data_owner,MAX2.0 внешний контур 45,MAX AI,2026-06-23,pending,critical,T615
D056,P006,internal_system,MAX2.0 внешний контур 1,MAX Quality,2026-06-22,delayed,high,T626
D057,P006,approval,MAX2.0 внешний контур 2,MAX Platform,2026-06-21,blocked,medium,T637
D058,P006,vendor,MAX2.0 внешний контур 3,MAX Security,2026-06-20,responded,low,T648
D059,P006,release_window,MAX2.0 внешний контур 4,MAX Integration,2026-06-19,pending,critical,T659
