id,resource_id,project_id,planned_hours_per_week,actual_hours_per_week
RA001,R001,P001,16,18
RA002,R001,P004,14,14
RA003,R002,P001,24,26
RA004,R002,P005,12,12
RA005,R003,P001,30,35
RA006,R003,P002,18,23
RA007,R004,P001,24,28
RA008,R004,P004,20,26
RA009,R005,P004,28,30
RA010,R005,P002,8,8
RA011,R006,P001,20,24
RA012,R006,P005,14,18
RA013,R007,P001,28,30
RA014,R007,P002,14,18
RA015,R008,P002,30,34
RA016,R008,P001,8,10
RA017,R009,P001,18,18
RA018,R009,P003,12,12
RA019,R010,P002,20,24
RA020,R010,P004,18,22
RA021,R011,P001,12,18
RA022,R011,P002,12,16
RA023,R011,P004,8,12
RA024,R012,P001,10,12
RA025,R012,P004,10,12
RA026,R013,P003,28,30
RA027,R014,P003,28,30
RA028,R015,P003,28,28
RA029,R016,P004,24,26
RA030,R016,P005,8,8
RA031,R017,P003,20,20
RA032,R017,P004,12,14
RA033,R018,P003,18,18
RA034,R019,P003,18,16
RA035,R020,P005,30,32
RA036,R021,P005,28,30
RA037,R022,P004,30,32
RA038,R023,P002,12,14
RA039,R023,P005,10,10
RA040,R024,P002,20,22
RA041,R024,P004,10,12
RA042,R025,P006,24,28
RA043,R026,P006,28,35
RA044,R027,P006,32,42
RA045,R028,P006,36,49
RA046,R029,P006,40,56
RA047,R030,P006,24,43
RA048,R031,P006,28,32
RA049,R032,P006,32,39
RA050,R033,P006,36,46
RA051,R034,P006,32,45
RA052,R035,P006,24,40
RA053,R036,P006,28,47
RA054,R037,P006,32,36
RA055,R038,P006,32,39
RA056,R039,P006,40,50
RA057,R040,P006,24,37
RA058,R041,P006,28,44
RA059,R042,P006,32,51
RA060,R043,P006,36,40
RA061,R044,P006,40,47
RA062,R045,P006,24,34
RA063,R046,P006,28,41
RA064,R047,P006,32,48
RA065,R048,P006,32,46
RA066,R049,P006,40,44
RA067,R050,P006,24,31
RA068,R051,P006,28,38
RA069,R052,P006,32,45
RA070,R053,P006,36,52
RA071,R054,P006,40,58
RA072,R055,P006,24,28
RA073,R056,P006,28,35
RA074,R057,P006,32,42
RA075,R058,P006,36,49
RA076,R059,P006,40,56
RA077,R060,P006,24,43
RA078,R061,P006,28,32
RA079,R062,P006,32,39
RA080,R063,P006,36,46
RA081,R064,P006,40,53
RA082,R065,P006,24,40
RA083,R066,P006,28,46
RA084,R067,P006,32,36
RA085,R068,P006,36,43
RA086,R069,P006,32,42
RA087,R070,P006,24,37
RA088,R071,P006,28,44
RA089,R072,P006,32,51
RA090,R073,P006,36,40
RA091,R074,P006,40,47
RA092,R075,P006,24,34
RA093,R076,P006,28,41
RA094,R077,P006,32,48
RA095,R078,P006,36,55
RA096,R079,P006,32,36
RA097,R080,P006,24,31
RA098,R081,P006,28,38
RA099,R082,P006,32,45
RA100,R083,P006,32,46
RA101,R084,P006,40,58
RA102,R085,P006,24,28
RA103,R086,P006,28,35
RA104,R087,P006,32,42
RA105,R088,P006,36,49
RA106,R089,P006,40,56
RA107,R090,P006,24,43
RA108,R091,P006,28,32
RA109,R092,P006,32,39
RA110,R093,P006,32,42
RA111,R094,P006,32,45
RA112,R095,P006,24,40
RA113,R096,P006,28,47
RA114,R097,P006,32,36
RA115,R098,P006,36,43
RA116,R099,P006,40,50
RA117,R100,P006,24,37
RA118,R101,P006,28,44
RA119,R102,P006,32,51
RA120,R103,P006,36,40
RA121,R104,P006,32,39
RA122,R105,P006,24,34
RA123,R106,P006,28,41
RA124,R107,P006,32,46
RA125,R108,P006,32,46
RA126,R109,P006,40,44
RA127,R110,P006,24,31
RA128,R111,P006,28,38
RA129,R112,P006,32,45
RA130,R113,P006,36,52
RA131,R114,P006,40,58
