идентификатор,идентификатор_проекта,идентификатор_задачи,идентификатор_задачи_предшественника,тип_зависимости,критический_путь,лаг_дней,причина
TD001,P001,T005,T001,блокирует,истина,1,согласование безопасности требуется до интеграции и пилотных работ.
TD002,P001,T006,T002,блокирует,истина,0,подтверждение уровня сервиса хранилища данных требуется до валидации признаков.
TD003,P001,T009,T004,требует,ложь,2,Процедура отката зависит от проверенной документации модели.
TD004,P002,T034,T031,блокирует,истина,1,Интеграционное тестирование ожидает окно процессинга.
TD005,P002,T035,T032,блокирует,истина,1,Настройка хранилища признаков зависит от согласования модели угроз.
TD006,P002,T036,T034,блокирует,истина,0,Оптимизация задержки зависит от стабильного адаптера процессинга.
TD007,P003,T064,T059,связана,ложь,1,Мобильный первичное подключение должен быть согласован с пользовательским опытом.
TD008,P003,T066,T064,блокирует,ложь,0,Регрессионный пакет зависит от стабилизированного клиентского сценария.
TD009,P004,T086,T083,блокирует,истина,1,Маршрутизация платежей зависит от поставки сертификатов поставщика.
TD010,P004,T090,T084,блокирует,истина,2,Нагрузочное тестирование зависит от завершенного чек-листа PCI DSS.
TD011,P005,T112,T109,блокирует,истина,1,Маппинг золотой записи зависит от правил дедупликации.
TD012,P005,T116,T112,связана,ложь,0,Сегменты кросс-продаж зависят от стабильного качества профиля.
TD013,P006,T131,T148,блокирует,истина,0,MAX2.0 зависимость между потоками 1.
TD014,P006,T132,T151,требует,ложь,1,MAX2.0 зависимость между потоками 2.
TD015,P006,T133,T154,связана,ложь,2,MAX2.0 зависимость между потоками 3.
TD016,P006,T134,T133,блокирует,ложь,3,MAX2.0 зависимость между потоками 4.
