идентификатор,идентификатор_проекта,идентификатор_бюджета,категория,название_статьи,плановая_сумма,фактическая_сумма,команда_владелец
BI001,P001,B001,Разработка,разработка модели,10000000,8500000,Риск-модели
BI002,P001,B001,Интеграция,интеграция с платформенным ядром,14000000,12000000,Платформенное ядро
BI003,P001,B001,Соответствие требованиям,безопасность и согласования,16000000,13000000,Безопасность
BI004,P001,B001,Тестирование,пилотный запуск,8000000,8000000,Проектный офис
BI005,P002,B002,Разработка,ядро потоковой обработки,20000000,18000000,Антифрод-платформа
BI006,P002,B002,Интеграция,адаптер карточного процессинга,18000000,16000000,Платежи
BI007,P002,B002,Моделирование,хранилище признаков и скоринг,20000000,14000000,Риск-модели
BI008,P002,B002,Соответствие требованиям,приемочное тестирование и согласование,14000000,16000000,Соответствие требованиям
BI009,P003,B003,Пользовательский опыт,мобильный пользовательский опыт и дизайн,10000000,8000000,Мобильная команда
BI010,P003,B003,Продукт,клиентские сценарии,10000000,7000000,Мобильная команда
BI011,P003,B003,Аналитика,отслеживание событий,12000000,9000000,CRM-аналитика
BI012,P003,B003,Релиз,стабилизация,10000000,5500000,Качество
BI013,P004,B004,Разработка,ядро платежного шлюза,10000000,9000000,Платежи
BI014,P004,B004,Интеграция,СБП и адаптеры эквайринга,12000000,8000000,Платежи
BI015,P004,B004,Безопасность,направление PCI DSS,8000000,7000000,Безопасность
BI016,P004,B004,Наблюдаемость,нагрузочное тестирование и мониторинг,8000000,7000000,Платформа
BI017,P005,B005,Качество данных,Золотая запись и дедупликация,9000000,6000000,CRM-аналитика
BI018,P005,B005,Разработка,программный интерфейс CRM-профиля,9000000,6000000,CRM-платформа
BI019,P005,B005,Управление,контроли качества данных,8000000,5000000,Платформа данных
BI020,P005,B005,Запуск,пилотный запуск,8000000,5500000,Продажи
BI021,P006,B006,Платформенное ядро,MAX2.0 статья 01,8689655,7060345,MAX проектный офис
BI022,P006,B006,Интеграция,MAX2.0 статья 02,10896550,8853447,MAX аналитика
BI023,P006,B006,Данные,MAX2.0 статья 03,13103448,10646551,MAX архитектура
BI024,P006,B006,ИИ,MAX2.0 статья 04,15310347,12439657,MAX ядро
