идентификатор,идентификатор_проекта,название,плановая_дата_начала,плановая_дата_окончания,фактическая_дата_начала,фактическая_дата_завершения,статус,ответственная_команда
M001,P001,Исследование и требования,2026-05-04,2026-05-15,2026-05-04,2026-05-16,Завершена,Бизнес-анализ
M002,P001,Модель и витрина признаков,2026-05-18,2026-06-05,2026-05-19,2026-06-08,Завершена,Риск-модели
M003,P001,Проверка безопасности и интеграция,2026-06-08,2026-06-12,2026-06-09,,Задерживается,Безопасность
M004,P001,Пилот в кредитном конвейере,2026-06-15,2026-06-30,,,Под риском,Платформенное ядро
M005,P002,Архитектура потокового контура,2026-04-27,2026-05-15,2026-04-28,2026-05-17,Завершена,Корпоративная архитектура
M006,P002,Интеграция с процессингом,2026-05-18,2026-06-05,2026-05-20,,Задерживается,Платежи
M007,P002,Модель антифрод-решений,2026-05-25,2026-06-19,2026-05-27,,Под риском,Риск-модели
M008,P002,Приемочное тестирование и промышленный контур,2026-06-22,2026-07-10,,,Запланирована,Платформа
M009,P003,Пользовательский опыт и система дизайна,2026-05-06,2026-05-22,2026-05-06,2026-05-21,Завершена,Клиентский опыт
M010,P003,Разработка клиентских сценариев,2026-05-25,2026-06-12,2026-05-25,2026-06-12,Завершена,Мобильная команда
M011,P003,Регрессия и аналитика,2026-06-15,2026-06-26,2026-06-15,,В работе,Качество
M012,P003,Пилотный релиз,2026-06-29,2026-07-03,,,Запланирована,Цифровой банк
M013,P004,Контракт программного интерфейса и архитектура,2026-05-11,2026-05-29,2026-05-12,2026-06-01,Завершена,Интеграция
M014,P004,СБП и адаптеры эквайринга,2026-06-01,2026-06-19,2026-06-03,,Под риском,Платежи
M015,P004,PCI DSS и безопасность,2026-06-15,2026-06-26,2026-06-17,,Под риском,Безопасность
M016,P004,Нагрузочное тестирование,2026-06-29,2026-07-17,,,Запланирована,Платформа
M017,P005,Исследование данных,2026-05-13,2026-05-29,2026-05-13,2026-05-30,Завершена,CRM-аналитика
M018,P005,Золотая запись,2026-06-01,2026-06-19,2026-06-01,2026-06-18,Завершена,Платформа данных
M019,P005,Программный интерфейс профиля 360,2026-06-22,2026-07-10,,,Запланирована,CRM-платформа
M020,P005,Пилот с продажами,2026-07-13,2026-07-24,,,Запланирована,Продажи
M021,P006,MAX2.0 этап 1,2026-05-25,2026-06-04,2026-05-25,2026-06-03,Завершена,MAX проектный офис
M022,P006,MAX2.0 этап 2,2026-06-05,2026-06-16,2026-06-06,,Задерживается,MAX аналитика
M023,P006,MAX2.0 этап 3,2026-06-16,2026-06-28,2026-06-16,,В работе,MAX архитектура
M024,P006,MAX2.0 этап 4,2026-06-27,2026-07-10,,,Запланирована,MAX ядро
