идентификатор,идентификатор_проекта,внешний_идентификатор,заголовок,идентификатор_исполнителя,исполнитель,статус,приоритет,плановый_срок,фактическая_дата_завершения,оценка_часов,затрачено_часов,заблокирована,причина_блокировки
T001,P001,МСБ-СКР-001,Получить согласование безопасности для скорингового программного интерфейса,R002,Мария Кузнецова,Заблокирована,критический,2026-06-10,,34,19,истина,Ожидается заключение безопасности по доступу к персональным данным
T002,P001,МСБ-СКР-002,Согласовать витрину признаков из АБС,R006,Павел Никитин,Заблокирована,критический,2026-05-27,,32,33,истина,Нет подтверждения уровня сервиса от хранилища данных
T003,P001,МСБ-СКР-003,Согласовать сопоставление полей CRM и кредитного конвейера,R002,Мария Кузнецова,Заблокирована,высокий,2026-06-04,,76,61,истина,Не выделен рецензент бэкенда
T004,P001,МСБ-СКР-004,Подготовить валидацию модели вероятности дефолта,R012,Георгий Орлов,Заблокирована,высокий,2026-06-14,,38,45,истина,Не согласована схема маскирования данных
T005,P001,МСБ-СКР-005,Протестировать точку доступа расчета скоринговой карты,R002,Мария Кузнецова,Заблокирована,высокий,2026-06-16,,30,31,истина,Зависимость от кредитного конвейера перенесена на следующий спринт
T006,P001,МСБ-СКР-006,Настроить логирование решений модели,R011,Виктория Павлова,В работе,средний,2026-05-26,,73,64,ложь,
T007,P001,МСБ-СКР-007,Разработать контроль версий признаков,R004,Илья Смирнов,На проверке,высокий,2026-05-30,,63,71,ложь,
T008,P001,МСБ-СКР-008,Проверить интеграцию с хранилищем данных,R008,Сергей Лебедев,На проверке,высокий,2026-06-09,,49,33,ложь,
T009,P001,МСБ-СКР-009,Согласовать регламент отката модели,R002,Мария Кузнецова,В работе,высокий,2026-06-05,,45,42,ложь,
T010,P001,МСБ-СКР-010,Проверить сравнительный контур для пилота МСБ,R001,Алексей Соколов,На проверке,высокий,2026-05-31,,86,82,ложь,
T011,P001,МСБ-СКР-011,Подготовить согласование безопасности для скорингового программного интерфейса,R011,Виктория Павлова,На проверке,средний,2026-05-28,,79,76,ложь,
T012,P001,МСБ-СКР-012,Подготовить витрину признаков из АБС,R002,Мария Кузнецова,В работе,высокий,2026-05-27,,70,69,ложь,
T013,P001,МСБ-СКР-013,Документировать сопоставление полей CRM и кредитного конвейера,R004,Илья Смирнов,Завершена,высокий,2026-05-18,2026-05-22,53,41,ложь,
T014,P001,МСБ-СКР-014,Интегрировать валидацию модели вероятности дефолта,R003,Дмитрий Волков,Завершена,средний,2026-06-04,2026-06-07,54,54,ложь,
T015,P001,МСБ-СКР-015,Проверить точку доступа расчета скоринговой карты,R012,Георгий Орлов,Завершена,средний,2026-05-22,2026-05-28,28,22,ложь,
T016,P001,МСБ-СКР-016,Проверить логирование решений модели,R006,Павел Никитин,Завершена,средний,2026-05-26,2026-05-29,19,26,ложь,
T017,P001,МСБ-СКР-017,Согласовать контроль версий признаков,R008,Сергей Лебедев,Завершена,средний,2026-05-29,2026-05-28,80,70,ложь,
T018,P001,МСБ-СКР-018,Согласовать интеграцию с хранилищем данных,R004,Илья Смирнов,Завершена,низкий,2026-06-12,2026-06-16,21,21,ложь,
T019,P001,МСБ-СКР-019,Подготовить регламент отката модели,R004,Илья Смирнов,Завершена,низкий,2026-05-28,2026-06-01,34,35,ложь,
T020,P001,МСБ-СКР-020,Протестировать сравнительный контур для пилота МСБ,R011,Виктория Павлова,Завершена,средний,2026-06-12,2026-06-11,62,67,ложь,
T021,P001,МСБ-СКР-021,Разработать согласование безопасности для скорингового программного интерфейса,R003,Дмитрий Волков,Завершена,низкий,2026-06-08,2026-06-07,47,36,ложь,
T022,P001,МСБ-СКР-022,Интегрировать витрину признаков из АБС,R011,Виктория Павлова,Завершена,средний,2026-05-28,2026-06-03,70,55,ложь,
T023,P001,МСБ-СКР-023,Разработать сопоставление полей CRM и кредитного конвейера,R011,Виктория Павлова,Завершена,средний,2026-05-29,2026-06-01,35,30,ложь,
T024,P001,МСБ-СКР-024,Проверить валидацию модели вероятности дефолта,R009,Анна Попова,Завершена,средний,2026-05-12,2026-05-14,39,44,ложь,
T025,P001,МСБ-СКР-025,Настроить точку доступа расчета скоринговой карты,R011,Виктория Павлова,Завершена,высокий,2026-05-24,2026-05-24,57,60,ложь,
T026,P001,МСБ-СКР-026,Подготовить логирование решений модели,R012,Георгий Орлов,Завершена,средний,2026-06-01,2026-06-06,22,19,ложь,
T027,P001,МСБ-СКР-027,Интегрировать контроль версий признаков,R004,Илья Смирнов,Завершена,средний,2026-05-15,2026-05-16,32,17,ложь,
T028,P001,МСБ-СКР-028,Протестировать интеграцию с хранилищем данных,R002,Мария Кузнецова,Завершена,низкий,2026-05-20,2026-05-20,81,72,ложь,
T029,P001,МСБ-СКР-029,Интегрировать регламент отката модели,R006,Павел Никитин,В работе,высокий,2026-06-29,,39,24,ложь,
T030,P001,МСБ-СКР-030,Настроить сравнительный контур для пилота МСБ,R006,Павел Никитин,В работе,высокий,2026-07-14,,17,11,ложь,
T031,P002,АНФ-001,Настроить конвейер потоковой обработки транзакций,R005,Ольга Иванова,Заблокирована,критический,2026-05-29,,32,33,истина,Процессинг не подтвердил окно подключения
T032,P002,АНФ-002,Согласовать правила блокировки высокорисковых операций,R011,Виктория Павлова,Заблокирована,критический,2026-06-03,,29,19,истина,Безопасность запросила дополнительную модель угроз
T033,P002,АНФ-003,Согласовать интеграцию с процессингом карт,R008,Сергей Лебедев,Заблокирована,высокий,2026-06-09,,12,18,истина,Недоступен стенд потоковой обработки
T034,P002,АНФ-004,Интегрировать витрину антифрод-расследований,R008,Сергей Лебедев,Заблокирована,высокий,2026-06-13,,15,22,истина,Не согласованы правила разбора ложных срабатываний
T035,P002,АНФ-005,Интегрировать хранилище признаков реального времени,R005,Ольга Иванова,В работе,средний,2026-06-09,,49,51,ложь,
T036,P002,АНФ-006,Интегрировать нагрузочный профиль 120 мс,R024,Владислав Крылов,В работе,высокий,2026-06-02,,27,32,ложь,
T037,P002,АНФ-007,Документировать оповещения по всплескам отказов,R023,Лариса Сергеева,На проверке,высокий,2026-06-04,,64,49,ложь,
T038,P002,АНФ-008,Настроить модель поведенческого скоринга,R005,Ольга Иванова,В работе,средний,2026-06-05,,36,41,ложь,
T039,P002,АНФ-009,Проверить контур ручного разбора случаев,R008,Сергей Лебедев,В работе,высокий,2026-05-31,,33,28,ложь,
T040,P002,АНФ-010,Проверить отчетность для соответствия требованиям,R010,Роман Егоров,На проверке,высокий,2026-06-10,,57,48,ложь,
T041,P002,АНФ-011,Интегрировать конвейер потоковой обработки транзакций,R003,Дмитрий Волков,В работе,высокий,2026-06-15,,35,30,ложь,
T042,P002,АНФ-012,Подготовить правила блокировки высокорисковых операций,R024,Владислав Крылов,В работе,высокий,2026-06-05,,34,30,ложь,
T043,P002,АНФ-013,Разработать интеграцию с процессингом карт,R023,Лариса Сергеева,Завершена,высокий,2026-05-28,2026-06-02,53,39,ложь,
T044,P002,АНФ-014,Интегрировать витрину антифрод-расследований,R007,Наталья Федорова,Завершена,средний,2026-05-24,2026-05-26,66,73,ложь,
T045,P002,АНФ-015,Разработать хранилище признаков реального времени,R011,Виктория Павлова,Завершена,низкий,2026-05-15,2026-05-13,52,44,ложь,
T046,P002,АНФ-016,Настроить нагрузочный профиль 120 мс,R003,Дмитрий Волков,Завершена,средний,2026-05-17,2026-05-17,44,50,ложь,
T047,P002,АНФ-017,Подготовить оповещения по всплескам отказов,R023,Лариса Сергеева,Завершена,средний,2026-05-19,2026-05-20,45,51,ложь,
T048,P002,АНФ-018,Протестировать модель поведенческого скоринга,R011,Виктория Павлова,Завершена,высокий,2026-05-28,2026-05-29,27,27,ложь,
T049,P002,АНФ-019,Согласовать контур ручного разбора случаев,R007,Наталья Федорова,Завершена,высокий,2026-05-31,2026-06-05,87,71,ложь,
T050,P002,АНФ-020,Интегрировать отчетность для соответствия требованиям,R003,Дмитрий Волков,Завершена,средний,2026-06-10,2026-06-09,44,46,ложь,
T051,P002,АНФ-021,Интегрировать конвейер потоковой обработки транзакций,R007,Наталья Федорова,Завершена,средний,2026-06-03,2026-06-02,36,35,ложь,
T052,P002,АНФ-022,Разработать правила блокировки высокорисковых операций,R024,Владислав Крылов,Завершена,средний,2026-05-31,2026-06-06,63,54,ложь,
T053,P002,АНФ-023,Разработать интеграцию с процессингом карт,R005,Ольга Иванова,Завершена,средний,2026-05-20,2026-05-22,63,68,ложь,
T054,P002,АНФ-024,Проверить витрину антифрод-расследований,R010,Роман Егоров,Завершена,высокий,2026-05-30,2026-05-31,38,25,ложь,
T055,P002,АНФ-025,Согласовать хранилище признаков реального времени,R024,Владислав Крылов,В работе,средний,2026-06-24,,25,20,ложь,
T056,P002,АНФ-026,Согласовать нагрузочный профиль 120 мс,R003,Дмитрий Волков,Запланирована,средний,2026-07-03,,20,20,ложь,
T057,P002,АНФ-027,Подготовить оповещения по всплескам отказов,R024,Владислав Крылов,В работе,средний,2026-07-10,,8,3,ложь,
T058,P002,АНФ-028,Протестировать модель поведенческого скоринга,R003,Дмитрий Волков,В работе,высокий,2026-07-11,,9,4,ложь,
T059,P003,МБ20-001,Настроить первичное подключение клиента,R009,Анна Попова,Заблокирована,критический,2026-06-16,,40,37,истина,Ожидается финальное согласование пользовательского опыта по первичному подключению
T060,P003,МБ20-002,Подготовить экран платежей по шаблонам,R014,Кирилл Морозов,В работе,высокий,2026-05-27,,57,62,ложь,
T061,P003,МБ20-003,Подготовить подсказки в уведомлениях в профиле,R019,Софья Андреева,На проверке,средний,2026-05-29,,28,29,ложь,
T062,P003,МБ20-004,Интегрировать рефакторинг авторизации,R019,Софья Андреева,Завершена,средний,2026-05-23,2026-05-27,38,23,ложь,
T063,P003,МБ20-005,Протестировать аналитику клиентских событий,R019,Софья Андреева,Завершена,высокий,2026-06-07,2026-06-08,36,22,ложь,
T064,P003,МБ20-006,Разработать сравнительный тест главного экрана,R015,Дарья Захарова,Завершена,средний,2026-05-14,2026-05-19,30,24,ложь,
