идентификатор,идентификатор_проекта,команда_отправитель,команда_получатель,тема,канал,дата_последнего_сообщения,ожидаемая_дата_ответа,статус,важность,идентификатор_связанной_задачи
C001,P001,Риск-модели,Безопасность,Согласование обработки ПДн для скорингового программного интерфейса,Команды,2026-06-04,2026-06-05,эскалировано,критический,T001
C002,P001,Платформа данных,хранилище данных,Уровень сервиса витрины признаков МСБ,Почта,2026-06-06,2026-06-07,задерживается,высокий,T002
C003,P001,Платформенное ядро,Кредитный конвейер,Окно интеграционного тестирования скоринга,Трекер задач,2026-06-12,2026-06-14,задерживается,высокий,T005
C004,P001,Проектный офис,Бизнес-заказчик,Решение по сокращению объема после роста бюджета,Почта,2026-06-17,2026-06-18,ожидает,высокий,T009
C005,P001,Риск-модели,Качество данных,Сверка неполных признаков по заявкам МСБ,База знаний,2026-06-13,2026-06-17,получен ответ,средний,T004
C006,P002,Антифрод-платформа,Карточный процессинг,Окно подключения потока транзакций,Почта,2026-06-01,2026-06-03,эскалировано,критический,T031
C007,P002,Риск-модели,Соответствие требованиям,Критерии проверки ложных срабатываний,Команды,2026-06-07,2026-06-10,задерживается,высокий,T038
C008,P002,Платформа,Надежность,Профиль процессора при поиске признаков,Трекер задач,2026-06-13,2026-06-14,получен ответ,средний,T036
C009,P002,Безопасность,Антифрод-платформа,Модель угроз для событий реального времени,База знаний,2026-06-11,2026-06-13,ожидает,высокий,T032
C010,P002,Проектный офис,Бизнес-заказчик,Решение по запуску пилота без части правил,Почта,2026-06-16,2026-06-18,ожидает,высокий,T033
C011,P003,Мобильная команда,Клиентский опыт,Финальное согласование первичного подключения,Команды,2026-06-15,2026-06-16,получен ответ,средний,T059
C012,P003,Мобильная команда,Аналитика,Событийная схема для нового профиля,Трекер задач,2026-06-14,2026-06-17,получен ответ,средний,T063
C013,P003,Цифровой банк,Управление релизами,Слот пилотного релиза,Почта,2026-06-18,2026-06-19,ожидает,средний,T068
C014,P003,Качество,Мобильная команда,Регрессионный прогон критических сценариев,Трекер задач,2026-06-17,2026-06-18,получен ответ,средний,T066
C015,P004,Платежи,Поставщик СБП,Тестовые сертификаты СБП,Почта,2026-06-06,2026-06-08,задерживается,критический,T083
C016,P004,Безопасность,Платежи,Проверка хранения токенов PCI DSS,База знаний,2026-06-11,2026-06-13,задерживается,высокий,T084
C017,P004,Платформа,Надежность,Нагрузочное окно шлюза,Команды,2026-06-16,2026-06-17,получен ответ,средний,T090
C018,P004,Проектный офис,Бизнес-заказчик,Перенос части сценариев торговых точек,Почта,2026-06-18,2026-06-19,ожидает,средний,T085
C019,P005,CRM-аналитика,Владельцы данных,Правила дедупликации контактов,Команды,2026-06-12,2026-06-14,получен ответ,средний,T110
C020,P005,CRM-платформа,Соответствие требованиям,Матрица доступа к профилю 360,База знаний,2026-06-13,2026-06-17,ожидает,средний,T117
C021,P005,Продажи,CRM-платформа,Сценарии пилота для регионов,Почта,2026-06-18,2026-06-19,ожидает,низкий,T113
C022,P005,Платформа данных,CRM-аналитика,Сверка золотой записи после дедупликации,Трекер задач,2026-06-16,2026-06-18,получен ответ,средний,T109
C023,P006,MAX проектный офис,MAX ядро,MAX2.0 согласование потока 1,Команды,2026-06-19,2026-06-24,ожидает,критический,T131
C024,P006,MAX аналитика,MAX клиентский слой,MAX2.0 согласование потока 2,Почта,2026-06-18,2026-06-23,задерживается,высокий,T136
C025,P006,MAX архитектура,MAX данные,MAX2.0 согласование потока 3,Трекер задач,2026-06-17,2026-06-22,получен ответ,средний,T141
C026,P006,MAX ядро,MAX ИИ,MAX2.0 согласование потока 4,База знаний,2026-06-16,2026-06-21,эскалировано,низкий,T146
