id,project_id,budget_id,category,item_name,planned_amount,actual_amount,owner_team
BI001,P001,B001,Engineering,Model development,10000000,8500000,Risk Models
BI002,P001,B001,Integration,Core Platform integration,14000000,12000000,Core Platform
BI003,P001,B001,Compliance,Security and approvals,16000000,13000000,Security
BI004,P001,B001,Testing,Pilot rollout,8000000,8000000,PMO
BI005,P002,B002,Engineering,Streaming core,20000000,18000000,Fraud Platform
BI006,P002,B002,Integration,Card processing adapter,18000000,16000000,Payments
BI007,P002,B002,Modeling,Feature store and scoring,20000000,14000000,Risk Models
BI008,P002,B002,Compliance,UAT and sign-off,14000000,16000000,Compliance
BI009,P003,B003,UX,Mobile UX and design,10000000,8000000,Mobile
BI010,P003,B003,Product,Client scenarios,10000000,7000000,Mobile
BI011,P003,B003,Analytics,Event tracking,12000000,9000000,CRM Analytics
BI012,P003,B003,Release,Stabilization,10000000,5500000,Quality
BI013,P004,B004,Engineering,Gateway core,10000000,9000000,Payments
BI014,P004,B004,Integration,SBP and acquiring adapters,12000000,8000000,Payments
BI015,P004,B004,Security,PCI DSS workstream,8000000,7000000,Security
BI016,P004,B004,Observability,Load testing and monitoring,8000000,7000000,Platform
BI017,P005,B005,Data Quality,Golden record and dedupe,9000000,6000000,CRM Analytics
BI018,P005,B005,Engineering,CRM profile API,9000000,6000000,CRM Platform
BI019,P005,B005,Governance,Data quality controls,8000000,5000000,Data Platform
BI020,P005,B005,Rollout,Pilot rollout,8000000,5500000,Sales
BI021,P006,B006,Core Platform,MAX2.0 статья 01,15665147,8942188,MAX PMO
BI022,P006,B006,Integration,MAX2.0 статья 02,19643596,11213219,MAX Analysis
BI023,P006,B006,Data,MAX2.0 статья 03,23622046,13484251,MAX Architecture
BI024,P006,B006,AI,MAX2.0 статья 04,27600497,15755283,MAX Core
BI025,P006,B006,Security,MAX2.0 статья 05,31578947,18026315,MAX Front
BI026,P006,B006,Compliance,MAX2.0 статья 06,26854538,15329465,MAX Data
BI027,P006,B006,Testing,MAX2.0 статья 07,30832987,17600497,MAX AI
BI028,P006,B006,Migration,MAX2.0 статья 08,34811438,19871529,MAX Quality
BI029,P006,B006,Observability,MAX2.0 статья 09,38789888,22142561,MAX Platform
BI030,P006,B006,Rollout,MAX2.0 статья 10,42768338,24413592,MAX Security
BI031,P006,B006,Core Platform,MAX2.0 статья 11,38043929,21716743,MAX Integration
BI032,P006,B006,Integration,MAX2.0 статья 12,17405718,9935764,MAX Reliability
BI033,P006,B006,Data,MAX2.0 статья 13,21384168,12206796,MAX Compliance
BI034,P006,B006,AI,MAX2.0 статья 14,25362618,14477827,MAX CX
BI035,P006,B006,Security,MAX2.0 статья 15,29341069,16748860,MAX PMO
BI036,P006,B006,Compliance,MAX2.0 статья 16,24616659,14052009,MAX Analysis
BI037,P006,B006,Testing,MAX2.0 статья 17,28595109,16323042,MAX Architecture
BI038,P006,B006,Migration,MAX2.0 статья 18,32573559,18594073,MAX Core
BI039,P006,B006,Observability,MAX2.0 статья 19,36552010,20865106,MAX Front
BI040,P006,B006,Rollout,MAX2.0 статья 20,40530460,23136137,MAX Data
BI041,P006,B006,Core Platform,MAX2.0 статья 21,35806050,20439287,MAX AI
BI042,P006,B006,Integration,MAX2.0 статья 22,39784500,22710319,MAX Quality
BI043,P006,B006,Data,MAX2.0 статья 23,19146290,10929341,MAX Platform
BI044,P006,B006,AI,MAX2.0 статья 24,23124740,13200372,MAX Security
BI045,P006,B006,Security,MAX2.0 статья 25,27103190,15471404,MAX Integration
BI046,P006,B006,Compliance,MAX2.0 статья 26,22378782,12774554,MAX Reliability
BI047,P006,B006,Testing,MAX2.0 статья 27,26357230,15045586,MAX Compliance
