идентификатор,идентификатор_проекта,идентификатор_задачи,идентификатор_автора,автор,время_создания,канал,текст,количество_упоминаний,система_источник
TC7001,P007,T701,R007-DEMO,Анна Волкова,2026-06-17T11:00:00,трекер,Анна: по T701 маскирование ещё не завершено. Проверку выполняет Игорь; мой срок поручения — 22 июня.,0,Синтетический трекер
TC7002,P007,T701,R007-DEMO,Анна Волкова,2026-06-18T14:00:00,трекер,После стенда 18 июня остались два исключения: обработаны 16 из 18 вымышленных строк. Требуется исправление и проверка; пилот не начат.,0,Синтетический трекер
TC7003,P007,T702,R007-DEMO,Анна Волкова,2026-06-17T11:00:00,трекер,"Проект матрицы подготовлен Мариной 17 июня, но утверждения нет. Согласование допуска T702 остаётся отдельной задачей.",0,Синтетический трекер
TC7004,P007,T702,R007-DEMO,Анна Волкова,2026-06-18T14:00:00,трекер,Допуск заблокирован незавершённым маскированием и неутверждённой матрицей. Плановый срок 23 июня не разрешает начать пилот.,0,Синтетический трекер
TC7005,P007,T703,R702,Игорь Смирнов,2026-06-17T11:00:00,трекер,Реестр по T703 составлен 16 июня. Для источников указаны происхождение и версия; тестовые вопросы учитываются отдельно.,0,Синтетический трекер
TC7006,P007,T703,R702,Игорь Смирнов,2026-06-18T14:00:00,трекер,Новые результаты стендовой проверки нужно связать с исходными шаблонами. Не следует считать их измерением качества QA-приложения.,0,Синтетический трекер
TC7007,P007,T704,R702,Игорь Смирнов,2026-06-17T11:00:00,трекер,Офлайн проверку шаблонов планируем на 18 июня. До прогона число исключений и обработанных строк неизвестно.,0,Синтетический трекер
TC7008,P007,T704,R702,Игорь Смирнов,2026-06-18T14:00:00,трекер,"В сегодняшнем стенде 18 строк: 16 обработаны, два исключения не закрыты. По T704 исправление и повторная проверка запланированы к 20 июня.",0,Синтетический трекер
TC7009,P007,T705,R703,Марина Соколова,2026-06-17T11:00:00,трекер,"Проект матрицы T705 подготовлен сегодня, 17 июня. Разделены подготовка черновика, проверка ссылки и утверждение сотрудником.",0,Синтетический трекер
TC7010,P007,T705,R703,Марина Соколова,2026-06-18T14:00:00,трекер,"Задача подготовки завершена, но матрица остаётся неутверждённым проектом. Передача на согласование не равна выдаче доступа.",0,Синтетический трекер
TC7011,P007,T706,R704,Павел Орлов,2026-06-17T11:00:00,трекер,"Для T706 предлагается цель Recall@8 не ниже 0,85. Нужно сохранить разметку релевантности и версию корпуса; итогового результата ещё нет.",0,Синтетический трекер
TC7012,P007,T706,R704,Павел Орлов,2026-06-18T14:00:00,трекер,"Добавляю вопросы о резерве и условиях пилота. Отчёт качества остаётся в работе, плановый срок — 21 июня.",0,Синтетический трекер
TC7013,P007,T707,R704,Павел Орлов,2026-06-17T11:00:00,трекер,"T707 в работе: проверка должна отклонять ID, отсутствующий среди полученных источников. Смысл утверждения требуется проверять отдельно.",0,Синтетический трекер
TC7014,P007,T707,R704,Павел Орлов,2026-06-18T14:00:00,трекер,"Реализация проверки существования ссылок завершена 18 июня в сценарии. Это не доказательство, что каждый ответ верно интерпретирует источник.",0,Синтетический трекер
TC7015,P007,T708,R706,Денис Лебедев,2026-06-17T11:00:00,трекер,"По T708 нужны вопросы с недостаточным подтверждением: промышленный запуск, измеренный эффект и утверждение резерва.",0,Синтетический трекер
TC7016,P007,T708,R706,Денис Лебедев,2026-06-18T14:00:00,трекер,"Различаю несуществующий источник и существующий источник, который не подтверждает тезис. Проверка не завершена, срок плана — 20 июня.",0,Синтетический трекер
TC7017,P007,T709,R705,Елена Морозова,2026-06-17T11:00:00,трекер,"FAQ должен объяснить, что сотрудник утверждает каждый ответ. Наличие черновика не означает разрешения на его отправку.",0,Синтетический трекер
TC7018,P007,T709,R705,Елена Морозова,2026-06-18T14:00:00,трекер,Добавлена тема целевого первого ответа за один рабочий день. Фактическое соблюдение не измерено; FAQ ещё согласуется до 21 июня.,0,Синтетический трекер
TC7019,P007,T710,R705,Елена Морозова,2026-06-17T11:00:00,трекер,"Обучение T710 планируется на 24 июня. Нужны упражнения по проверке даты, источника и статуса решения.",0,Синтетический трекер
TC7020,P007,T710,R705,Елена Морозова,2026-06-18T14:00:00,трекер,"В учебный план добавляем возврат неподтверждённого ответа на проверку. Занятие ещё не проведено, задача остаётся новой.",0,Синтетический трекер
TC7021,P007,T711,R706,Денис Лебедев,2026-06-17T11:00:00,трекер,"Приёмку T711 планируем на 25 июня, после допуска и отчёта качества. Само наличие 20 синтетических обращений не означает готовность.",0,Синтетический трекер
TC7022,P007,T711,R706,Денис Лебедев,2026-06-18T14:00:00,трекер,"После проверки маскирования остались два исключения; допуска и итогового отчёта нет. Приёмка заблокирована, пилот не начат.",0,Синтетический трекер
TC7023,P007,T712,R007-DEMO,Анна Волкова,2026-06-17T11:00:00,трекер,Подготавливаю финансовый вопрос о дополнительной проверке маскирования и доступа. Обсуждение потребности не утверждает бюджет.,0,Синтетический трекер
TC7024,P007,T712,R007-DEMO,Анна Волкова,2026-06-18T14:00:00,трекер,"Резерв 600 000 рублей запрошен, не утверждён. План — 2 400 000 рублей, фактические затраты — 800 000; решение по T712 ожидается к 23 июня.",0,Синтетический трекер
TC7025,P007,T713,R703,Марина Соколова,2026-06-17T11:00:00,трекер,По T713 готовлю предложение о сроке хранения журналов. До готовности документа срок нельзя объявлять действующим правилом.,0,Синтетический трекер
TC7026,P007,T713,R703,Марина Соколова,2026-06-18T14:00:00,трекер,"Проект на 30 дней подготовлен 18 июня. Подготовка завершена, но срок хранения не утверждён и не стал политикой.",0,Синтетический трекер
TC7027,P007,T714,R704,Павел Орлов,2026-06-17T11:00:00,трекер,"T714 в работе: для восстановления индекса потребуется сопоставление исходных документов, версий и числа записей.",0,Синтетический трекер
TC7028,P007,T714,R704,Павел Орлов,2026-06-18T14:00:00,трекер,План проверки восстановления — 22 июня. Подтверждённого результата пока нет; существование текущего индекса не доказывает восстановимость.,0,Синтетический трекер
TC7029,P007,T715,R705,Елена Морозова,2026-06-17T11:00:00,трекер,"По T715 согласуем, кому передавать вопросы о данных, доступе и неподтверждённых ссылках. Это отдельная работа от согласования FAQ.",0,Синтетический трекер
TC7030,P007,T715,R705,Елена Морозова,2026-06-18T14:00:00,трекер,"Маршрутизация согласована 18 июня: данные — Игорю, доступ — Марине, поиск и ссылки — Павлу, координация — Анне. FAQ ещё в работе.",0,Синтетический трекер
TC7031,P007,T716,R007-DEMO,Анна Волкова,2026-06-17T11:00:00,трекер,T716 предусматривает отдельные критерии промышленного запуска. Предложение о дате пилота не заменяет подписанное решение.,0,Синтетический трекер
