id,project_id,request_date,requested_by,change_type,description,requested_budget_delta,requested_timeline_delta_days,status
CR001,P001,2026-06-12,Security,compliance_scope,Добавить расширенную модель угроз и дополнительные проверки маскирования данных.,16000000,14,under_review
CR002,P001,2026-06-13,Core Platform,integration_scope,Перенести часть интеграционных сценариев кредитного конвейера в post-pilot.,-3000000,-6,proposed
CR003,P002,2026-06-07,Fraud Platform,performance_tuning,Добавить отдельный спринт на оптимизацию feature lookup до целевых 120 мс.,4000000,8,under_review
CR004,P004,2026-06-14,Payments,vendor_scope,Закупить дополнительные vendor-сертификаты и расширить sandbox-mock для gateway.,4000000,5,approved
CR005,P005,2026-06-17,CRM Analytics,data_quality,Добавить ручную проверку топ-сегментов после дедупликации golden record.,1000000,2,approved
CR006,P006,2026-06-01,MAX PMO,integration_scope,MAX2.0 запрос на изменение 1: уточнение объема работ по крупному потоку.,-20000000,-5,pending
CR007,P006,2026-06-02,MAX Analysis,security_scope,MAX2.0 запрос на изменение 2: уточнение объема работ по крупному потоку.,15000000,3,under_review
CR008,P006,2026-06-03,MAX Architecture,migration_scope,MAX2.0 запрос на изменение 3: уточнение объема работ по крупному потоку.,35000000,8,proposed
CR009,P006,2026-06-04,MAX Core,performance_tuning,MAX2.0 запрос на изменение 4: уточнение объема работ по крупному потоку.,0,0,approved
CR010,P006,2026-06-05,MAX Front,release_scope,MAX2.0 запрос на изменение 5: уточнение объема работ по крупному потоку.,50000000,12,rejected
CR011,P006,2026-06-06,MAX Data,integration_scope,MAX2.0 запрос на изменение 6: уточнение объема работ по крупному потоку.,-20000000,-5,pending
CR012,P006,2026-06-07,MAX AI,security_scope,MAX2.0 запрос на изменение 7: уточнение объема работ по крупному потоку.,15000000,3,under_review
CR013,P006,2026-06-08,MAX Quality,migration_scope,MAX2.0 запрос на изменение 8: уточнение объема работ по крупному потоку.,35000000,8,proposed
CR014,P006,2026-06-09,MAX Platform,performance_tuning,MAX2.0 запрос на изменение 9: уточнение объема работ по крупному потоку.,0,0,approved
CR015,P006,2026-06-10,MAX Security,release_scope,MAX2.0 запрос на изменение 10: уточнение объема работ по крупному потоку.,50000000,12,rejected
CR016,P006,2026-06-11,MAX Integration,integration_scope,MAX2.0 запрос на изменение 11: уточнение объема работ по крупному потоку.,-20000000,-5,pending
CR017,P006,2026-06-12,MAX Reliability,security_scope,MAX2.0 запрос на изменение 12: уточнение объема работ по крупному потоку.,15000000,3,under_review
CR018,P006,2026-06-13,MAX Compliance,migration_scope,MAX2.0 запрос на изменение 13: уточнение объема работ по крупному потоку.,35000000,8,proposed
CR019,P006,2026-06-14,MAX CX,performance_tuning,MAX2.0 запрос на изменение 14: уточнение объема работ по крупному потоку.,0,0,approved
CR020,P006,2026-06-15,MAX PMO,release_scope,MAX2.0 запрос на изменение 15: уточнение объема работ по крупному потоку.,50000000,12,rejected
CR021,P006,2026-06-16,MAX Analysis,integration_scope,MAX2.0 запрос на изменение 16: уточнение объема работ по крупному потоку.,-20000000,-5,pending
CR022,P006,2026-06-17,MAX Architecture,security_scope,MAX2.0 запрос на изменение 17: уточнение объема работ по крупному потоку.,15000000,3,under_review
CR023,P006,2026-06-18,MAX Core,migration_scope,MAX2.0 запрос на изменение 18: уточнение объема работ по крупному потоку.,35000000,8,proposed
CR024,P006,2026-06-19,MAX Front,performance_tuning,MAX2.0 запрос на изменение 19: уточнение объема работ по крупному потоку.,0,0,approved
CR025,P006,2026-06-20,MAX Data,release_scope,MAX2.0 запрос на изменение 20: уточнение объема работ по крупному потоку.,50000000,12,rejected
CR026,P006,2026-06-21,MAX AI,integration_scope,MAX2.0 запрос на изменение 21: уточнение объема работ по крупному потоку.,-20000000,-5,pending
CR027,P006,2026-06-22,MAX Quality,security_scope,MAX2.0 запрос на изменение 22: уточнение объема работ по крупному потоку.,15000000,3,under_review
CR028,P006,2026-06-23,MAX Platform,migration_scope,MAX2.0 запрос на изменение 23: уточнение объема работ по крупному потоку.,35000000,8,proposed
CR029,P006,2026-06-24,MAX Security,performance_tuning,MAX2.0 запрос на изменение 24: уточнение объема работ по крупному потоку.,0,0,approved
CR030,P006,2026-06-25,MAX Integration,release_scope,MAX2.0 запрос на изменение 25: уточнение объема работ по крупному потоку.,50000000,12,rejected
CR031,P006,2026-06-26,MAX Reliability,integration_scope,MAX2.0 запрос на изменение 26: уточнение объема работ по крупному потоку.,-20000000,-5,pending
CR032,P006,2026-06-27,MAX Compliance,security_scope,MAX2.0 запрос на изменение 27: уточнение объема работ по крупному потоку.,15000000,3,under_review
CR033,P006,2026-06-28,MAX CX,migration_scope,MAX2.0 запрос на изменение 28: уточнение объема работ по крупному потоку.,35000000,8,proposed
CR034,P006,2026-06-29,MAX PMO,performance_tuning,MAX2.0 запрос на изменение 29: уточнение объема работ по крупному потоку.,0,0,approved
CR035,P006,2026-06-30,MAX Analysis,release_scope,MAX2.0 запрос на изменение 30: уточнение объема работ по крупному потоку.,50000000,12,rejected
CR036,P006,2026-07-01,MAX Architecture,integration_scope,MAX2.0 запрос на изменение 31: уточнение объема работ по крупному потоку.,-20000000,-5,pending
CR037,P006,2026-07-02,MAX Core,security_scope,MAX2.0 запрос на изменение 32: уточнение объема работ по крупному потоку.,15000000,3,under_review
CR038,P006,2026-07-03,MAX Front,migration_scope,MAX2.0 запрос на изменение 33: уточнение объема работ по крупному потоку.,35000000,8,proposed
