id,project_id,communication_id,message_time,sender_team,recipient_team,channel,message_type,status,summary,linked_task_id,is_escalation
CM001,P001,C001,2026-06-04 09:15:00,Risk Models,Security,Teams,request,sent,Первичный запрос по теме: Согласование обработки ПДн для скорингового API,T001,False
CM002,P001,C001,2026-06-05 15:30:00,PMO,Security,Teams,escalation,escalated,Эскалация по теме: Согласование обработки ПДн для скорингового API,T001,True
CM003,P001,C002,2026-06-06 09:15:00,Data Platform,DWH,Email,request,sent,Первичный запрос по теме: SLA витрины признаков МСБ,T002,False
CM004,P001,C002,2026-06-07 15:30:00,Data Platform,DWH,Email,reminder,waiting,Напоминание по теме: SLA витрины признаков МСБ,T002,False
CM005,P001,C003,2026-06-12 09:15:00,Core Platform,Credit Conveyor,Jira,request,sent,Первичный запрос по теме: Окно интеграционного тестирования скоринга,T005,False
CM006,P001,C003,2026-06-14 15:30:00,Core Platform,Credit Conveyor,Jira,reminder,waiting,Напоминание по теме: Окно интеграционного тестирования скоринга,T005,False
CM007,P001,C004,2026-06-17 09:15:00,PMO,Business Owner,Email,request,sent,Первичный запрос по теме: Решение по scope cut после роста бюджета,T009,False
CM008,P001,C004,2026-06-18 15:30:00,PMO,Business Owner,Email,follow_up,waiting,Фоллоу-ап по теме: Решение по scope cut после роста бюджета,T009,False
CM009,P001,C005,2026-06-13 09:15:00,Risk Models,Data Quality,Confluence,request,sent,Первичный запрос по теме: Сверка неполных признаков по заявкам МСБ,T004,False
CM010,P001,C005,2026-06-17 15:30:00,Data Quality,Risk Models,Confluence,response,replied,Ответ по теме: Сверка неполных признаков по заявкам МСБ,T004,False
CM011,P002,C006,2026-06-01 09:15:00,Fraud Platform,Card Processing,Email,request,sent,Первичный запрос по теме: Окно подключения transaction stream,T031,False
CM012,P002,C006,2026-06-03 15:30:00,PMO,Card Processing,Email,escalation,escalated,Эскалация по теме: Окно подключения transaction stream,T031,True
CM013,P002,C007,2026-06-07 09:15:00,Risk Models,Compliance,Teams,request,sent,Первичный запрос по теме: Критерии false positive review,T038,False
CM014,P002,C007,2026-06-10 15:30:00,Risk Models,Compliance,Teams,reminder,waiting,Напоминание по теме: Критерии false positive review,T038,False
CM015,P002,C008,2026-06-13 09:15:00,Platform,SRE,Jira,request,sent,Первичный запрос по теме: CPU profile feature lookup,T036,False
CM016,P002,C008,2026-06-14 15:30:00,SRE,Platform,Jira,response,replied,Ответ по теме: CPU profile feature lookup,T036,False
CM017,P002,C009,2026-06-11 09:15:00,Security,Fraud Platform,Confluence,request,sent,Первичный запрос по теме: Threat model для real-time событий,T032,False
CM018,P002,C009,2026-06-13 15:30:00,Security,Fraud Platform,Confluence,follow_up,waiting,Фоллоу-ап по теме: Threat model для real-time событий,T032,False
CM019,P002,C010,2026-06-16 09:15:00,PMO,Business Owner,Email,request,sent,Первичный запрос по теме: Решение по запуску пилота без части правил,T033,False
CM020,P002,C010,2026-06-18 15:30:00,PMO,Business Owner,Email,follow_up,waiting,Фоллоу-ап по теме: Решение по запуску пилота без части правил,T033,False
CM021,P003,C011,2026-06-15 09:15:00,Mobile,CX,Teams,request,sent,Первичный запрос по теме: Финальный approve onboarding,T059,False
CM022,P003,C011,2026-06-16 15:30:00,CX,Mobile,Teams,response,replied,Ответ по теме: Финальный approve onboarding,T059,False
CM023,P003,C012,2026-06-14 09:15:00,Mobile,Analytics,Jira,request,sent,Первичный запрос по теме: Событийная схема для нового профиля,T063,False
CM024,P003,C012,2026-06-17 15:30:00,Analytics,Mobile,Jira,response,replied,Ответ по теме: Событийная схема для нового профиля,T063,False
CM025,P003,C013,2026-06-18 09:15:00,Digital Bank,Release Management,Email,request,sent,Первичный запрос по теме: Слот pilot release,T068,False
CM026,P003,C013,2026-06-19 15:30:00,Digital Bank,Release Management,Email,follow_up,waiting,Фоллоу-ап по теме: Слот pilot release,T068,False
CM027,P003,C014,2026-06-17 09:15:00,Quality,Mobile,Jira,request,sent,Первичный запрос по теме: Регрессионный прогон critical flows,T066,False
CM028,P003,C014,2026-06-18 15:30:00,Mobile,Quality,Jira,response,replied,Ответ по теме: Регрессионный прогон critical flows,T066,False
CM029,P004,C015,2026-06-06 09:15:00,Payments,SBP Vendor,Email,request,sent,Первичный запрос по теме: Тестовые сертификаты СБП,T083,False
CM030,P004,C015,2026-06-08 15:30:00,Payments,SBP Vendor,Email,reminder,waiting,Напоминание по теме: Тестовые сертификаты СБП,T083,False
CM031,P004,C016,2026-06-11 09:15:00,Security,Payments,Confluence,request,sent,Первичный запрос по теме: PCI DSS token storage review,T084,False
CM032,P004,C016,2026-06-13 15:30:00,Security,Payments,Confluence,reminder,waiting,Напоминание по теме: PCI DSS token storage review,T084,False
CM033,P004,C017,2026-06-16 09:15:00,Platform,SRE,Teams,request,sent,Первичный запрос по теме: Нагрузочное окно gateway,T090,False
CM034,P004,C017,2026-06-17 15:30:00,SRE,Platform,Teams,response,replied,Ответ по теме: Нагрузочное окно gateway,T090,False
CM035,P004,C018,2026-06-18 09:15:00,PMO,Business Owner,Email,request,sent,Первичный запрос по теме: Перенос части merchant-сценариев,T085,False
CM036,P004,C018,2026-06-19 15:30:00,PMO,Business Owner,Email,follow_up,waiting,Фоллоу-ап по теме: Перенос части merchant-сценариев,T085,False
CM037,P005,C019,2026-06-12 09:15:00,CRM Analytics,Data Owners,Teams,request,sent,Первичный запрос по теме: Правила дедупликации контактов,T110,False
CM038,P005,C019,2026-06-14 15:30:00,Data Owners,CRM Analytics,Teams,response,replied,Ответ по теме: Правила дедупликации контактов,T110,False
CM039,P005,C020,2026-06-13 09:15:00,CRM Platform,Compliance,Confluence,request,sent,Первичный запрос по теме: Матрица доступа к профилю 360,T117,False
CM040,P005,C020,2026-06-17 15:30:00,CRM Platform,Compliance,Confluence,follow_up,waiting,Фоллоу-ап по теме: Матрица доступа к профилю 360,T117,False
CM041,P005,C021,2026-06-18 09:15:00,Sales,CRM Platform,Email,request,sent,Первичный запрос по теме: Сценарии пилота для регионов,T113,False
CM042,P005,C021,2026-06-19 15:30:00,Sales,CRM Platform,Email,follow_up,waiting,Фоллоу-ап по теме: Сценарии пилота для регионов,T113,False
CM043,P005,C022,2026-06-16 09:15:00,Data Platform,CRM Analytics,Jira,request,sent,Первичный запрос по теме: Сверка golden record после дедупликации,T109,False
CM044,P005,C022,2026-06-18 15:30:00,CRM Analytics,Data Platform,Jira,response,replied,Ответ по теме: Сверка golden record после дедупликации,T109,False
CM045,P006,C023,2026-06-19 10:00:00,MAX PMO,MAX Core,Teams,request,sent,Первичный запрос MAX2.0 по согласованию 1.,T131,False
CM046,P006,C023,2026-06-24 16:00:00,MAX Core,MAX PMO,Teams,response,waiting,Ответ или эскалация MAX2.0 по согласованию 1.,T131,False
CM047,P006,C024,2026-06-18 10:01:00,MAX Analysis,MAX Front,Email,request,sent,Первичный запрос MAX2.0 по согласованию 2.,T136,False
CM048,P006,C024,2026-06-23 16:01:00,MAX Front,MAX Analysis,Email,response,waiting,Ответ или эскалация MAX2.0 по согласованию 2.,T136,False
CM049,P006,C025,2026-06-17 10:02:00,MAX Architecture,MAX Data,Jira,request,sent,Первичный запрос MAX2.0 по согласованию 3.,T141,False
CM050,P006,C025,2026-06-22 16:02:00,MAX Data,MAX Architecture,Jira,response,waiting,Ответ или эскалация MAX2.0 по согласованию 3.,T141,False
CM051,P006,C026,2026-06-16 10:03:00,MAX Core,MAX AI,Confluence,request,sent,Первичный запрос MAX2.0 по согласованию 4.,T146,False
CM052,P006,C026,2026-06-21 16:03:00,PMO,MAX AI,Confluence,escalation,escalated,Ответ или эскалация MAX2.0 по согласованию 4.,T146,True
CM053,P006,C027,2026-06-15 10:04:00,MAX Front,MAX Quality,Teams,request,sent,Первичный запрос MAX2.0 по согласованию 5.,T151,False
CM054,P006,C027,2026-06-20 16:04:00,MAX Quality,MAX Front,Teams,response,waiting,Ответ или эскалация MAX2.0 по согласованию 5.,T151,False
CM055,P006,C028,2026-06-14 10:05:00,MAX Data,MAX Platform,Email,request,sent,Первичный запрос MAX2.0 по согласованию 6.,T156,False
CM056,P006,C028,2026-06-19 16:05:00,MAX Platform,MAX Data,Email,response,waiting,Ответ или эскалация MAX2.0 по согласованию 6.,T156,False
CM057,P006,C029,2026-06-13 10:06:00,MAX AI,MAX Security,Jira,request,sent,Первичный запрос MAX2.0 по согласованию 7.,T161,False
CM058,P006,C029,2026-06-18 16:06:00,MAX Security,MAX AI,Jira,response,waiting,Ответ или эскалация MAX2.0 по согласованию 7.,T161,False
CM059,P006,C030,2026-06-12 10:07:00,MAX Quality,MAX Integration,Confluence,request,sent,Первичный запрос MAX2.0 по согласованию 8.,T166,False
CM060,P006,C030,2026-06-17 16:07:00,PMO,MAX Integration,Confluence,escalation,escalated,Ответ или эскалация MAX2.0 по согласованию 8.,T166,True
CM061,P006,C031,2026-06-11 10:08:00,MAX Platform,MAX Reliability,Teams,request,sent,Первичный запрос MAX2.0 по согласованию 9.,T171,False
CM062,P006,C031,2026-06-16 16:08:00,MAX Reliability,MAX Platform,Teams,response,waiting,Ответ или эскалация MAX2.0 по согласованию 9.,T171,False
CM063,P006,C032,2026-06-10 10:09:00,MAX Security,MAX Compliance,Email,request,sent,Первичный запрос MAX2.0 по согласованию 10.,T176,False
CM064,P006,C032,2026-06-15 16:09:00,MAX Compliance,MAX Security,Email,response,waiting,Ответ или эскалация MAX2.0 по согласованию 10.,T176,False
CM065,P006,C033,2026-06-09 10:10:00,MAX Integration,MAX CX,Jira,request,sent,Первичный запрос MAX2.0 по согласованию 11.,T181,False
CM066,P006,C033,2026-06-14 16:10:00,MAX CX,MAX Integration,Jira,response,waiting,Ответ или эскалация MAX2.0 по согласованию 11.,T181,False
CM067,P006,C034,2026-06-08 10:11:00,MAX Reliability,MAX PMO,Confluence,request,sent,Первичный запрос MAX2.0 по согласованию 12.,T186,False
CM068,P006,C034,2026-06-13 16:11:00,PMO,MAX PMO,Confluence,escalation,escalated,Ответ или эскалация MAX2.0 по согласованию 12.,T186,True
CM069,P006,C035,2026-06-07 10:12:00,MAX Compliance,MAX Analysis,Teams,request,sent,Первичный запрос MAX2.0 по согласованию 13.,T191,False
CM070,P006,C035,2026-06-12 16:12:00,MAX Analysis,MAX Compliance,Teams,response,waiting,Ответ или эскалация MAX2.0 по согласованию 13.,T191,False
CM071,P006,C036,2026-06-06 10:13:00,MAX CX,MAX Architecture,Email,request,sent,Первичный запрос MAX2.0 по согласованию 14.,T196,False
CM072,P006,C036,2026-06-11 16:13:00,MAX Architecture,MAX CX,Email,response,waiting,Ответ или эскалация MAX2.0 по согласованию 14.,T196,False
