идентификатор,идентификатор_проекта,тип_зависимости,объект_зависимости,команда_владелец,ожидаемая_дата,статус,критичность,идентификатор_связанной_задачи
D001,P001,внутренняя система,витрина признаков хранилища данных,Платформа данных,2026-06-07,задерживается,высокий,T002
D002,P001,согласование,согласование безопасности,Безопасность,2026-06-05,заблокировано,критический,T001
D003,P001,управленческое решение,решение о сокращении объема,Проектный офис,2026-06-18,ожидает,высокий,T009
D004,P002,внутренняя система,поток карточного процессинга,Карточный процессинг,2026-06-03,заблокировано,критический,T031
D005,P002,согласование,критерии ложных срабатываний,Соответствие требованиям,2026-06-10,задерживается,высокий,T038
D006,P003,релизное окно,слот пилотного релиза,Управление релизами,2026-06-19,ожидает,средний,T068
D007,P004,поставщик,тестовые сертификаты СБП,Поставщик СБП,2026-06-08,задерживается,критический,T083
D008,P004,согласование,проверка хранения токенов PCI DSS,Безопасность,2026-06-13,задерживается,высокий,T084
D009,P005,владелец данных,ответственный за дубли CRM,Владельцы данных,2026-06-14,получен ответ,средний,T110
D010,P005,согласование,матрица доступа к профилю 360,Соответствие требованиям,2026-06-17,ожидает,средний,T117
D011,P006,внутренняя система,MAX2.0 внешний контур 1,MAX клиентский слой,2026-06-23,ожидает,критический,T131
D012,P006,согласование,MAX2.0 внешний контур 2,MAX данные,2026-06-22,задерживается,высокий,T142
