идентификатор,идентификатор_проекта,тип_риска,описание,вероятность,влияние,ответственный,план_снижения_риска,статус,идентификатор_связанной_задачи
RK001,P001,Безопасность,Безопасность может не согласовать обработку персональных данных для скорингового программного интерфейса.,5,5,Виктория Павлова,Вынести модель угроз на комитет по рискам и подготовить маскирование полей.,эскалировано,T001
RK002,P001,Ресурсы,Ведущий бэкенд-разработчик распределен между двумя критическими проектами и работает выше доступной емкости.,4,5,Елена Морозова,Перенести часть задач на второго бэкенд-разработчика и зафиксировать лимит незавершенной работы.,активен,T006
RK003,P001,Бюджет,Прогноз бюджета превышает план из-за доработок безопасности и интеграций.,4,4,Елена Морозова,Согласовать сокращение объема и отдельный резерв на доработки по соответствию требованиям.,активен,T009
RK004,P001,Зависимость,Хранилище данных не подтвердило стабильный уровень сервиса для витрины признаков МСБ.,3,5,Павел Никитин,Согласовать резервную выгрузку и ежедневный контроль качества данных.,снижается,T002
RK005,P001,Качество данных,Исторические признаки по части заявок МСБ неполные.,3,4,Наталья Федорова,Запустить сверку с кредитным конвейером и исключить неполные выборки.,активен,T004
RK006,P002,Производительность,Задержка принятия решений в реальном времени превышает целевой лимит 120 мс при пиковой нагрузке.,4,5,Сергей Лебедев,Оптимизировать поиск признаков и включить предохранитель отказов.,эскалировано,T036
RK007,P002,Интеграция,Процессинг карт переносит окно подключения и блокирует сквозные тесты.,5,4,Евгений Фомин,Эскалировать слот подключения и подготовить контур-заглушку.,эскалировано,T031
RK008,P002,Соответствие требованиям,Нужно доказать контролируемый уровень ложных срабатываний для операций клиентов.,4,4,Лариса Сергеева,Подготовить отчетность по тестовой выборке и критерии ручного разбора.,активен,T038
RK009,P002,Безопасность,Дополнительная модель угроз задерживает доступ к продуктивным событиям.,3,5,Виктория Павлова,Провести рабочую встречу по модели угроз и согласовать доступ только на чтение.,активен,T032
RK010,P002,Ресурсы,Инженер машинного обучения перегружен задачами расследований и оптимизации производительности.,3,4,Андрей Романов,Выделить отдельный слот на оптимизацию модели.,снижается,T037
RK011,P003,Релиз,Проверка в магазине приложений может занять больше стандартного окна.,2,3,Артур Комаров,Отправить сборку заранее и подготовить поэтапный запуск.,активен,T068
RK012,P003,Пользовательский опыт,Пользователи могут хуже проходить обновленное первичное подключение без подсказок.,2,3,Софья Андреева,Провести дополнительное исследование удобства на контрольной группе.,снижается,T059
RK013,P003,Зависимость,Биометрический вход зависит от смежного релиза авторизации.,2,4,Екатерина Васильева,Оставить переключатель функции и резервный сценарий входа по паролю.,активен,T067
RK014,P004,Поставщик,Поставщик СБП задерживает тестовые сертификаты для шлюза.,4,4,Сергей Ковалев,Эскалировать через менеджера поставщика и подготовить тестовый имитатор.,активен,T083
RK015,P004,Безопасность,Чек-лист PCI DSS требует дополнительного аудита хранения токенов.,3,5,Виктория Павлова,Разделить объем аудита и вынести спорные пункты на комитет изменений.,активен,T084
RK016,P004,Производительность,Шлюз может не выдержать пиковые платежные окна без настройки командой надежности.,3,4,Владислав Крылов,Добавить синтетическую нагрузку и автооповещения по задержке.,снижается,T090
RK017,P004,Бюджет,Дополнительные сертификаты поставщика увеличивают ожидаемые затраты проекта.,3,3,Сергей Ковалев,Зафиксировать лимит закупки и убрать часть некритичных работ.,активен,T085
RK018,P005,Качество данных,Дубликаты клиентов в CRM и хранилище данных расходятся по ключевым атрибутам.,3,4,Полина Соколова,Ввести оценку уверенности для золотой записи и ручную валидацию верхних сегментов.,активен,T115
RK019,P005,Внедрение,Команды продаж могут продолжить использовать старые карточки клиентов.,2,3,Ольга Беляева,Провести пилот с двумя регионами и собрать обратную связь.,снижается,T113
RK020,P005,Соответствие требованиям,Нужна проверка ролей доступа к чувствительным клиентским атрибутам.,2,4,Лариса Сергеева,Согласовать матрицу ролей до начала пилота.,активен,T117
RK021,P006,Безопасность,MAX2.0 риск 1: возможное влияние на поток 1 из-за зависимости или качества данных.,2,3,Артем Аверин,"Назначить ответственного, подтвердить дату снятия риска и подготовить резервный план.",активен,T131
RK022,P006,Интеграция,MAX2.0 риск 2: возможное влияние на поток 2 из-за зависимости или качества данных.,3,4,Валерия Басова,"Назначить ответственного, подтвердить дату снятия риска и подготовить резервный план.",снижается,T138
RK023,P006,Качество данных,MAX2.0 риск 3: возможное влияние на поток 3 из-за зависимости или качества данных.,4,5,Глеб Воронцов,"Назначить ответственного, подтвердить дату снятия риска и подготовить резервный план.",активен,T145
RK024,P006,Миграция,MAX2.0 риск 4: возможное влияние на поток 4 из-за зависимости или качества данных.,5,3,Диана Галкин,"Назначить ответственного, подтвердить дату снятия риска и подготовить резервный план.",эскалировано,T152
