идентификатор,идентификатор_ресурса,идентификатор_проекта,план_часов_в_неделю,факт_часов_в_неделю
RA001,R001,P001,16,18
RA002,R001,P004,14,14
RA003,R002,P001,24,26
RA004,R002,P005,12,12
RA005,R003,P001,30,35
RA006,R003,P002,18,23
RA007,R004,P001,24,28
RA008,R004,P004,20,26
RA009,R005,P004,28,30
RA010,R005,P002,8,8
RA011,R006,P001,20,24
RA012,R006,P005,14,18
RA013,R007,P001,28,30
RA014,R007,P002,14,18
RA015,R008,P002,30,34
RA016,R008,P001,8,10
RA017,R009,P001,18,18
RA018,R009,P003,12,12
RA019,R010,P002,20,24
RA020,R010,P004,18,22
RA021,R011,P001,12,18
RA022,R011,P002,12,16
RA023,R011,P004,8,12
RA024,R012,P001,10,12
RA025,R012,P004,10,12
RA026,R013,P003,28,30
RA027,R014,P003,28,30
RA028,R015,P003,28,28
RA029,R016,P004,24,26
RA030,R016,P005,8,8
RA031,R017,P003,20,20
RA032,R017,P004,12,14
RA033,R018,P003,18,18
RA034,R019,P003,18,16
RA035,R020,P005,30,32
RA036,R021,P005,28,30
RA037,R022,P004,30,32
RA038,R023,P002,12,14
RA039,R023,P005,10,10
RA040,R024,P002,20,22
RA041,R024,P004,10,12
RA042,R025,P006,24,28
RA043,R026,P006,28,35
RA044,R027,P006,32,42
RA045,R028,P006,36,49
RA046,R029,P006,40,56
RA047,R030,P006,24,43
RA048,R031,P006,28,32
RA049,R032,P006,32,39
