id,project_id,decision_date,decision_type,description,decision_owner,status,linked_milestone_id
DEC001,P001,2026-06-12,scope_change,"Перенести часть интеграции в post-pilot, чтобы разблокировать Security review.",Елена Морозова,pending,M003
DEC002,P001,2026-06-13,budget_reserve,Согласовать дополнительный резерв на compliance-доработки или сократить scope пилота.,Steering Committee,pending,M004
DEC003,P002,2026-06-07,pilot_scope,Запускать пилот fraud decisioning без части правил до завершения интеграции с процессингом.,Андрей Романов,pending,M006
DEC004,P003,2026-06-18,release_go,Подтвердить окно pilot release после расширенного регрессионного прогона.,Артур Комаров,approved,M012
DEC005,P004,2026-06-14,vendor_escalation,Эскалировать задержку сертификатов СБП через vendor manager.,Сергей Ковалев,approved,M014
DEC006,P005,2026-06-17,data_governance,Зафиксировать владельца правил дедупликации и критерии качества golden record.,Ольга Беляева,approved,M018
DEC007,P006,2026-06-01,scope,MAX2.0 управленческое решение 1 по потоку 1.,Максим Туревич,pending,M021
DEC008,P006,2026-06-02,architecture,MAX2.0 управленческое решение 2 по потоку 2.,Steering Committee,under_review,M022
DEC009,P006,2026-06-03,budget,MAX2.0 управленческое решение 3 по потоку 3.,PMO,approved,M023
DEC010,P006,2026-06-04,security,MAX2.0 управленческое решение 4 по потоку 4.,Архитектурный комитет,pending,M024
DEC011,P006,2026-06-05,migration,MAX2.0 управленческое решение 5 по потоку 5.,Максим Туревич,pending,M025
DEC012,P006,2026-06-06,release,MAX2.0 управленческое решение 6 по потоку 6.,Steering Committee,under_review,M026
DEC013,P006,2026-06-07,scope,MAX2.0 управленческое решение 7 по потоку 7.,PMO,approved,M027
DEC014,P006,2026-06-08,architecture,MAX2.0 управленческое решение 8 по потоку 8.,Архитектурный комитет,pending,M028
DEC015,P006,2026-06-09,budget,MAX2.0 управленческое решение 9 по потоку 9.,Максим Туревич,pending,M029
DEC016,P006,2026-06-10,security,MAX2.0 управленческое решение 10 по потоку 10.,Steering Committee,under_review,M030
DEC017,P006,2026-06-11,migration,MAX2.0 управленческое решение 11 по потоку 11.,PMO,approved,M031
DEC018,P006,2026-06-12,release,MAX2.0 управленческое решение 12 по потоку 12.,Архитектурный комитет,pending,M032
DEC019,P006,2026-06-13,scope,MAX2.0 управленческое решение 13 по потоку 13.,Максим Туревич,pending,M033
DEC020,P006,2026-06-14,architecture,MAX2.0 управленческое решение 14 по потоку 14.,Steering Committee,under_review,M034
DEC021,P006,2026-06-15,budget,MAX2.0 управленческое решение 15 по потоку 15.,PMO,approved,M035
DEC022,P006,2026-06-16,security,MAX2.0 управленческое решение 16 по потоку 16.,Архитектурный комитет,pending,M036
DEC023,P006,2026-06-17,migration,MAX2.0 управленческое решение 17 по потоку 17.,Максим Туревич,pending,M037
DEC024,P006,2026-06-18,release,MAX2.0 управленческое решение 18 по потоку 18.,Steering Committee,under_review,M038
DEC025,P006,2026-06-19,scope,MAX2.0 управленческое решение 19 по потоку 19.,PMO,approved,M039
DEC026,P006,2026-06-20,architecture,MAX2.0 управленческое решение 20 по потоку 20.,Архитектурный комитет,pending,M040
DEC027,P006,2026-06-21,budget,MAX2.0 управленческое решение 21 по потоку 21.,Максим Туревич,pending,M041
DEC028,P006,2026-06-22,security,MAX2.0 управленческое решение 22 по потоку 22.,Steering Committee,under_review,M042
DEC029,P006,2026-06-23,migration,MAX2.0 управленческое решение 23 по потоку 23.,PMO,approved,M043
DEC030,P006,2026-06-24,release,MAX2.0 управленческое решение 24 по потоку 24.,Архитектурный комитет,pending,M044
DEC031,P006,2026-06-25,scope,MAX2.0 управленческое решение 25 по потоку 25.,Максим Туревич,pending,M045
DEC032,P006,2026-06-26,architecture,MAX2.0 управленческое решение 26 по потоку 26.,Steering Committee,under_review,M046
DEC033,P006,2026-06-27,budget,MAX2.0 управленческое решение 27 по потоку 27.,PMO,approved,M047
DEC034,P006,2026-06-28,security,MAX2.0 управленческое решение 28 по потоку 28.,Архитектурный комитет,pending,M048
DEC035,P006,2026-06-29,migration,MAX2.0 управленческое решение 29 по потоку 29.,Максим Туревич,pending,M049
DEC036,P006,2026-06-30,release,MAX2.0 управленческое решение 30 по потоку 30.,Steering Committee,under_review,M050
DEC037,P006,2026-07-01,scope,MAX2.0 управленческое решение 31 по потоку 1.,PMO,approved,M051
DEC038,P006,2026-07-02,architecture,MAX2.0 управленческое решение 32 по потоку 2.,Архитектурный комитет,pending,M052
DEC039,P006,2026-07-03,budget,MAX2.0 управленческое решение 33 по потоку 3.,Максим Туревич,pending,M053
DEC040,P006,2026-07-04,security,MAX2.0 управленческое решение 34 по потоку 4.,Steering Committee,under_review,M054
DEC041,P006,2026-07-05,migration,MAX2.0 управленческое решение 35 по потоку 5.,PMO,approved,M055
DEC042,P006,2026-07-06,release,MAX2.0 управленческое решение 36 по потоку 6.,Архитектурный комитет,pending,M056
DEC043,P006,2026-07-07,scope,MAX2.0 управленческое решение 37 по потоку 7.,Максим Туревич,pending,M057
DEC044,P006,2026-07-08,architecture,MAX2.0 управленческое решение 38 по потоку 8.,Steering Committee,under_review,M058
DEC045,P006,2026-07-09,budget,MAX2.0 управленческое решение 39 по потоку 9.,PMO,approved,M059
DEC046,P006,2026-07-10,security,MAX2.0 управленческое решение 40 по потоку 10.,Архитектурный комитет,pending,M060
DEC047,P006,2026-06-01,migration,MAX2.0 управленческое решение 41 по потоку 11.,Максим Туревич,pending,M061
DEC048,P006,2026-06-02,release,MAX2.0 управленческое решение 42 по потоку 12.,Steering Committee,under_review,M062
DEC049,P006,2026-06-03,scope,MAX2.0 управленческое решение 43 по потоку 13.,PMO,approved,M063
DEC050,P006,2026-06-04,architecture,MAX2.0 управленческое решение 44 по потоку 14.,Архитектурный комитет,pending,M064
DEC051,P006,2026-06-05,budget,MAX2.0 управленческое решение 45 по потоку 15.,Максим Туревич,pending,M065
DEC052,P006,2026-06-06,security,MAX2.0 управленческое решение 46 по потоку 16.,Steering Committee,under_review,M066
DEC053,P006,2026-06-07,migration,MAX2.0 управленческое решение 47 по потоку 17.,PMO,approved,M067
DEC054,P006,2026-06-08,release,MAX2.0 управленческое решение 48 по потоку 18.,Архитектурный комитет,pending,M068
DEC055,P006,2026-06-09,scope,MAX2.0 управленческое решение 49 по потоку 19.,Максим Туревич,pending,M069
