id,resource_id,project_id,allocation_start_date,allocation_end_date,planned_hours_per_week,actual_hours_per_week,source_system
CP001,R001,P001,2026-05-25,2026-06-21,16,18,PMO capacity plan
CP002,R001,P004,2026-05-25,2026-06-21,14,14,PMO capacity plan
CP003,R002,P001,2026-05-25,2026-06-21,24,26,PMO capacity plan
CP004,R002,P005,2026-05-25,2026-06-21,12,12,PMO capacity plan
CP005,R003,P001,2026-05-25,2026-06-21,30,35,PMO capacity plan
CP006,R003,P002,2026-05-25,2026-06-21,18,23,PMO capacity plan
CP007,R004,P001,2026-05-25,2026-06-21,24,28,PMO capacity plan
CP008,R004,P004,2026-05-25,2026-06-21,20,26,PMO capacity plan
CP009,R005,P004,2026-05-25,2026-06-21,28,30,PMO capacity plan
CP010,R005,P002,2026-05-25,2026-06-21,8,8,PMO capacity plan
CP011,R006,P001,2026-05-25,2026-06-21,20,24,PMO capacity plan
CP012,R006,P005,2026-05-25,2026-06-21,14,18,PMO capacity plan
CP013,R007,P001,2026-05-25,2026-06-21,28,30,PMO capacity plan
CP014,R007,P002,2026-05-25,2026-06-21,14,18,PMO capacity plan
CP015,R008,P002,2026-05-25,2026-06-21,30,34,PMO capacity plan
CP016,R008,P001,2026-05-25,2026-06-21,8,10,PMO capacity plan
CP017,R009,P001,2026-05-25,2026-06-21,18,18,PMO capacity plan
CP018,R009,P003,2026-05-25,2026-06-21,12,12,PMO capacity plan
CP019,R010,P002,2026-05-25,2026-06-21,20,24,PMO capacity plan
CP020,R010,P004,2026-05-25,2026-06-21,18,22,PMO capacity plan
CP021,R011,P001,2026-05-25,2026-06-21,12,18,PMO capacity plan
CP022,R011,P002,2026-05-25,2026-06-21,12,16,PMO capacity plan
CP023,R011,P004,2026-05-25,2026-06-21,8,12,PMO capacity plan
CP024,R012,P001,2026-05-25,2026-06-21,10,12,PMO capacity plan
CP025,R012,P004,2026-05-25,2026-06-21,10,12,PMO capacity plan
CP026,R013,P003,2026-05-25,2026-06-21,28,30,PMO capacity plan
CP027,R014,P003,2026-05-25,2026-06-21,28,30,PMO capacity plan
CP028,R015,P003,2026-05-25,2026-06-21,28,28,PMO capacity plan
CP029,R016,P004,2026-05-25,2026-06-21,24,26,PMO capacity plan
CP030,R016,P005,2026-05-25,2026-06-21,8,8,PMO capacity plan
CP031,R017,P003,2026-05-25,2026-06-21,20,20,PMO capacity plan
CP032,R017,P004,2026-05-25,2026-06-21,12,14,PMO capacity plan
CP033,R018,P003,2026-05-25,2026-06-21,18,18,PMO capacity plan
CP034,R019,P003,2026-05-25,2026-06-21,18,16,PMO capacity plan
CP035,R020,P005,2026-05-25,2026-06-21,30,32,PMO capacity plan
CP036,R021,P005,2026-05-25,2026-06-21,28,30,PMO capacity plan
CP037,R022,P004,2026-05-25,2026-06-21,30,32,PMO capacity plan
CP038,R023,P002,2026-05-25,2026-06-21,12,14,PMO capacity plan
CP039,R023,P005,2026-05-25,2026-06-21,10,10,PMO capacity plan
CP040,R024,P002,2026-05-25,2026-06-21,20,22,PMO capacity plan
CP041,R024,P004,2026-05-25,2026-06-21,10,12,PMO capacity plan
