идентификатор,идентификатор_проекта,идентификатор_коммуникации,время_сообщения,команда_автор_сообщения,команда_адресат_сообщения,канал,тип_сообщения,статус,краткое_содержание,идентификатор_связанной_задачи,эскалация
MSG7001,P007,COM701,2026-06-15T09:15:00,Проектный офис,Инженерия данных,проектный чат,вопрос,доставлено,"Для маскирования нужен перечень полей синтетических обращений. Анна отвечает за поручение T701, техническую проверку выполняет Игорь.",T701,ложь
MSG7002,P007,COM701,2026-06-16T10:15:00,Инженерия данных,Проектный офис,проектный чат,ответ,доставлено,Игорь: сначала проверю шаблоны отдельно от набора пилота. Число обращений в будущем пилоте — 20; стендовая проверка не будет означать его начало.,T701,ложь
MSG7003,P007,COM701,2026-06-17T11:15:00,Проектный офис,Инженерия данных,проектный чат,уточнение,доставлено,"Включите в план проверку вложенных полей и повторяемости масок. Маскирование пока не завершено, срок поручения Анны — 22 июня.",T701,ложь
MSG7004,P007,COM701,2026-06-18T12:15:00,Инженерия данных,Проектный офис,проектный чат,ответ,доставлено,"Игорь: сегодня офлайн проверены 18 вымышленных строк шаблонов: 16 обработаны, два исключения остаются открытыми. Это сценарный стенд, не пилот и не benchmark QA.",T701,ложь
MSG7005,P007,COM701,2026-06-19T13:15:00,Проектный офис,Инженерия данных,проектный чат,напоминание,доставлено,Анна: поручение остаётся открытым. После исправлений Игоря нужно проверить маскирование; без утверждённой матрицы доступа пилот также нельзя начинать.,T701,ложь
MSG7006,P007,COM702,2026-06-15T09:15:00,Проектный офис,Информационная безопасность,проектный чат,вопрос,доставлено,"Нужно разделить подготовку ответа и его утверждение сотрудником. Марина, включите разграничение этих действий в проект матрицы.",T702,ложь
MSG7007,P007,COM702,2026-06-16T10:15:00,Информационная безопасность,Проектный офис,проектный чат,ответ,доставлено,"Марина: оформляю роли для просмотра источника, проверки ссылки и утверждения ответа. Подготовка проекта не означает выдачу доступа.",T702,ложь
MSG7008,P007,COM702,2026-06-17T11:15:00,Проектный офис,Информационная безопасность,проектный чат,уточнение,доставлено,"Проект матрицы подготовлен сегодня, 17 июня. Прошу передать его на согласование; статус утверждения остаётся открытым.",T702,ложь
MSG7009,P007,COM702,2026-06-18T12:15:00,Информационная безопасность,Проектный офис,проектный чат,ответ,доставлено,"Марина: отсутствие реальных обращений не отменяет контроль доступа. Пока маскирование не закончено и матрица не утверждена, допуска нет.",T702,ложь
MSG7010,P007,COM702,2026-06-19T13:15:00,Проектный офис,Информационная безопасность,проектный чат,напоминание,доставлено,Анна: T702 остаётся заблокированной. Плановая дата согласования 23 июня не является решением о начале пилота.,T702,ложь
MSG7011,P007,COM703,2026-06-15T09:15:00,Инженерия данных,AI-разработка,проектный чат,вопрос,доставлено,"Прошу составить реестр синтетических источников: документ, версия, происхождение и ответственный. Реальные обращения граждан не включаем.",T703,ложь
MSG7012,P007,COM703,2026-06-16T10:15:00,AI-разработка,Инженерия данных,проектный чат,ответ,доставлено,Игорь: реестр по T703 составлен сегодня. Для документов фиксирую версию и дату; тестовые вопросы отделяю от источников ответов.,T703,ложь
MSG7013,P007,COM703,2026-06-17T11:15:00,Инженерия данных,AI-разработка,проектный чат,уточнение,доставлено,"Добавьте правило обновления: новая редакция должна иметь собственную дату, чтобы не подменять состояние прошлой версии.",T703,ложь
MSG7014,P007,COM703,2026-06-18T12:15:00,AI-разработка,Инженерия данных,проектный чат,ответ,доставлено,Игорь: стендовые строки проверки маскирования учитываем отдельно. Их результаты не следует смешивать с оценкой качества поиска.,T703,ложь
MSG7015,P007,COM703,2026-06-19T13:15:00,Инженерия данных,AI-разработка,проектный чат,напоминание,доставлено,При новых документах обновляйте реестр и сохраняйте ссылки на исходный файл. Существование источника не доказывает истинность любого вывода о нём.,T703,ложь
MSG7016,P007,COM704,2026-06-15T09:15:00,Инженерия данных,Тестирование,проектный чат,вопрос,доставлено,Предлагаю выделить проверку исключений маскирования в отдельный технический шаг. Пока результатов стенда нет.,T704,ложь
